department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
Operations,region_5,Bachelors,f,other,1,31,5,5,0,0,72,Y
Sales & Marketing,region_22,Master & above,m,sourcing,1,43,5,7,1,0,52,N
Sales & Marketing,region_2,Bachelors,f,other,1,38,3,3,0,0,50,N
HR,region_2,Master & above,m,sourcing,1,36,3,2,0,0,46,N
Operations,region_22,Bachelors,m,other,1,30,3,7,0,0,60,N
Sales & Marketing,region_9,Bachelors,m,other,2,25,1,2,0,0,47,N
Procurement,region_2,Bachelors,f,sourcing,1,38,4,9,0,0,65,N
Technology,region_2,Bachelors,m,other,1,34,5,6,1,0,79,N
Analytics,region_1,Bachelors,m,other,1,25,4,2,1,0,86,N
Procurement,region_2,Bachelors,m,sourcing,1,41,5,12,0,0,87,Y
Technology,region_23,Bachelors,m,other,1,35,4,3,1,0,83,Y
Sales & Marketing,region_13,Bachelors,m,other,1,52,3,4,0,0,52,N
Sales & Marketing,region_27,Bachelors,m,sourcing,1,38,5,9,0,0,49,N
Operations,region_2,Bachelors,f,sourcing,1,55,3,15,0,0,64,N
Technology,region_2,Bachelors,f,sourcing,1,30,4,3,0,0,80,N
Sales & Marketing,region_31,Master & above,m,other,1,33,4,2,0,0,50,N
Operations,region_31,Bachelors,m,sourcing,1,32,3,8,1,0,58,N
Procurement,region_7,Bachelors,m,sourcing,2,32,3,8,0,0,74,N
Operations,region_27,Bachelors,f,sourcing,1,37,1,2,1,0,55,N
Sales & Marketing,region_7,Master & above,m,other,1,46,1,3,0,0,48,N
Technology,region_2,Master & above,m,sourcing,4,54,3,18,0,0,79,N
Procurement,region_17,Master & above,f,other,1,37,3,4,0,0,71,N
Technology,region_1,Master & above,f,sourcing,1,30,2,5,0,0,75,N
Operations,region_28,Bachelors,m,other,1,33,3,3,1,0,60,N
Operations,region_7,Master & above,f,other,1,36,5,8,0,0,59,N
Legal,region_2,Master & above,f,sourcing,1,45,1,6,0,0,59,N
Procurement,region_17,Master & above,f,sourcing,1,43,3,13,0,0,69,N
Sales & Marketing,region_5,Bachelors,m,other,1,26,1,3,0,0,53,N
Procurement,region_17,Master & above,f,other,1,38,3,9,0,0,69,N
Sales & Marketing,region_2,Bachelors,m,sourcing,1,37,4,14,1,0,46,Y
Sales & Marketing,region_28,Bachelors,m,other,1,28,4,5,1,0,50,N
Operations,region_2,Below Secondary,m,sourcing,1,25,3,2,0,0,55,N
R&D,region_22,Master & above,m,sourcing,2,36,4,12,0,0,85,N
Operations,region_31,Bachelors,m,other,1,32,5,5,0,0,53,N
Finance,region_7,Master & above,m,other,1,35,3,9,1,0,60,N
Legal,region_7,Bachelors,m,other,1,35,1,7,0,0,58,N
Operations,region_31,Bachelors,f,sourcing,1,28,5,2,0,0,63,N
Procurement,region_4,Bachelors,f,sourcing,1,28,3,6,0,0,68,N
Procurement,region_13,Bachelors,f,other,1,29,3,5,0,0,65,N
Operations,region_30,Bachelors,f,other,1,32,5,6,0,0,70,Y
Sales & Marketing,region_15,Bachelors,m,sourcing,1,29,5,2,1,0,57,N
Procurement,region_15,Master & above,f,other,1,40,4,3,0,0,68,N
Operations,region_4,Bachelors,m,other,1,33,4,9,1,0,64,N
Sales & Marketing,region_11,Bachelors,m,sourcing,1,29,4,7,0,0,46,N
Finance,region_7,Bachelors,f,other,1,30,3,3,1,0,59,N
Analytics,region_31,Bachelors,m,sourcing,2,43,5,4,1,0,83,N
Operations,region_19,Bachelors,f,sourcing,1,33,5,9,1,0,58,N
Finance,region_22,Bachelors,m,sourcing,1,46,5,6,0,0,60,N
HR,region_32,Bachelors,m,other,1,30,2,3,1,0,56,N
Analytics,region_26,Bachelors,m,sourcing,1,37,2,10,1,0,84,N
Sales & Marketing,region_25,Master & above,m,other,1,38,5,9,1,0,48,N
Operations,region_10,Master & above,m,sourcing,1,35,5,10,0,0,67,Y
Operations,region_12,Bachelors,f,sourcing,1,31,4,4,0,0,62,N
Technology,region_7,Master & above,f,sourcing,1,52,4,15,1,0,77,N
Sales & Marketing,region_4,Master & above,f,other,1,34,3,5,0,0,65,Y
Procurement,region_13,Bachelors,m,other,1,32,3,10,0,0,72,N
Sales & Marketing,region_28,Master & above,f,other,1,37,5,3,1,1,47,N
Sales & Marketing,region_32,Bachelors,m,other,1,30,4,6,0,0,52,N
Technology,region_16,Master & above,f,other,1,40,4,11,1,0,78,N
Finance,region_26,Master & above,m,sourcing,1,35,1,7,0,0,61,N
Technology,region_26,Bachelors,f,sourcing,1,30,3,4,0,0,77,N
Technology,region_2,Bachelors,f,referred,1,38,4,3,0,0,82,N
HR,region_7,Bachelors,m,sourcing,1,34,3,6,0,0,51,N
Procurement,region_30,Bachelors,m,sourcing,1,35,3,7,0,0,66,N
Sales & Marketing,region_1,Master & above,m,other,1,41,4,11,1,0,58,Y
Technology,region_13,Bachelors,m,sourcing,1,41,5,13,1,0,81,N
Operations,region_15,Bachelors,m,other,1,47,1,4,0,0,57,N
Technology,region_29,Master & above,m,sourcing,1,40,3,12,0,0,82,N
Sales & Marketing,region_25,Bachelors,m,sourcing,1,41,5,2,0,0,48,N
HR,region_2,Bachelors,m,sourcing,1,40,3,7,0,0,48,N
Procurement,region_2,Bachelors,f,sourcing,2,35,3,10,0,0,64,N
Sales & Marketing,region_2,Bachelors,m,sourcing,1,57,2,26,0,0,54,N
Operations,region_22,Master & above,f,sourcing,1,43,3,4,0,0,58,N
Analytics,region_22,Master & above,m,other,1,50,4,3,1,0,86,N
Finance,region_22,Bachelors,m,sourcing,2,22,4,2,0,0,59,N
Sales & Marketing,region_29,Bachelors,m,other,1,30,4,3,0,0,49,N
Sales & Marketing,region_4,Master & above,f,other,1,36,5,9,1,0,46,N
Sales & Marketing,region_7,Master & above,f,other,3,32,1,5,0,0,49,N
Operations,region_4,Bachelors,m,other,1,35,5,4,1,0,62,Y
Sales & Marketing,region_13,Bachelors,m,other,1,28,4,4,0,0,49,N
Operations,region_29,Bachelors,m,other,1,28,4,3,0,0,56,N
Technology,region_7,Master & above,f,sourcing,1,35,5,10,0,0,83,Y
Sales & Marketing,region_32,Bachelors,m,other,5,26,4,1,0,0,46,N
Analytics,region_30,Bachelors,m,other,1,26,1,2,0,0,83,N
Sales & Marketing,region_13,Master & above,m,sourcing,3,31,4,2,0,0,47,N
Operations,region_2,Bachelors,f,sourcing,1,50,2,17,0,0,61,N
Technology,region_2,Bachelors,f,other,1,38,5,9,1,0,80,N
Procurement,region_2,Master & above,f,sourcing,1,37,1,7,1,0,72,N
Sales & Marketing,region_22,Bachelors,m,sourcing,1,32,4,6,1,0,50,N
Sales & Marketing,region_7,Bachelors,m,referred,2,27,5,4,1,0,47,N
Operations,region_22,Master & above,m,referred,1,40,5,3,1,0,59,N
Operations,region_15,Bachelors,m,other,1,34,3,7,1,0,58,N
Operations,region_13,Master & above,m,sourcing,1,44,3,15,0,0,60,N
HR,region_29,Bachelors,m,sourcing,1,28,5,3,1,0,49,Y
Operations,region_4,Master & above,m,other,1,43,1,5,1,0,60,N
Sales & Marketing,region_2,Master & above,m,sourcing,5,44,3,2,0,0,52,N
Operations,region_22,Bachelors,m,sourcing,1,45,3,4,1,0,55,N
Operations,region_15,Bachelors,f,sourcing,1,40,3,4,0,0,61,N
R&D,region_7,Master & above,m,other,1,35,3,6,0,0,80,N
Sales & Marketing,region_2,Bachelors,m,sourcing,1,48,1,2,0,0,54,N
Operations,region_22,Master & above,m,other,1,30,5,3,0,0,74,Y
Procurement,region_2,Master & above,f,other,1,48,3,6,0,0,70,N
Legal,region_22,Bachelors,f,other,1,30,3,2,0,0,59,N
Sales & Marketing,region_32,Bachelors,m,other,3,28,1,3,0,0,49,N
Sales & Marketing,region_25,Bachelors,m,other,1,35,3,4,1,0,51,N
Analytics,region_2,Bachelors,m,other,1,60,4,10,0,0,81,N
Sales & Marketing,region_2,Bachelors,m,other,1,33,4,8,1,0,50,N
Procurement,region_26,Bachelors,f,other,1,25,5,2,1,0,72,N
Sales & Marketing,region_13,Master & above,m,other,1,50,4,6,1,0,53,N
Sales & Marketing,region_30,Master & above,m,sourcing,1,48,2,16,0,0,54,N
Sales & Marketing,region_21,Bachelors,m,other,2,30,3,1,0,0,48,N
Sales & Marketing,region_13,Bachelors,m,other,1,54,2,13,0,0,49,N
Operations,region_2,Bachelors,m,sourcing,1,49,3,17,0,0,56,N
Finance,region_15,Bachelors,m,sourcing,1,37,5,9,1,0,62,N
Operations,region_4,Bachelors,f,other,1,38,3,9,0,0,57,N
Procurement,region_2,Master & above,f,other,3,55,3,23,0,0,67,N
Operations,region_4,Bachelors,m,other,1,26,5,3,1,0,58,N
Analytics,region_23,Master & above,m,sourcing,1,33,3,6,0,0,90,N
Sales & Marketing,region_15,Bachelors,f,sourcing,1,32,4,7,1,0,51,N
HR,region_17,Bachelors,f,sourcing,1,26,3,2,0,0,47,N
HR,region_10,Master & above,m,other,1,30,5,4,1,0,54,N
Operations,region_23,Master & above,m,other,1,34,2,3,0,0,62,N
Sales & Marketing,region_26,Bachelors,m,sourcing,1,37,1,2,1,0,49,N
Technology,region_5,Bachelors,m,other,1,29,4,5,0,0,80,N
Sales & Marketing,region_11,Bachelors,m,sourcing,1,27,5,3,0,0,51,N
Analytics,region_7,Bachelors,m,sourcing,1,35,4,9,0,0,85,N
Procurement,region_22,Master & above,f,other,1,33,2,4,0,0,73,N
Operations,region_1,Bachelors,f,other,2,29,5,5,1,0,56,N
Procurement,region_13,Bachelors,m,sourcing,2,52,5,6,1,0,67,N
Sales & Marketing,region_2,Bachelors,m,sourcing,2,36,3,3,0,0,47,N
Technology,region_27,Bachelors,f,other,1,29,1,3,0,0,86,N
Sales & Marketing,region_7,Master & above,m,sourcing,1,47,3,5,1,0,51,N
Operations,region_6,Bachelors,f,sourcing,1,25,4,2,0,0,61,N
Legal,region_22,Bachelors,m,sourcing,1,25,3,2,0,0,59,N
Sales & Marketing,region_7,Master & above,f,other,1,39,3,10,0,0,49,N
Operations,region_22,Master & above,m,other,1,46,4,18,1,0,64,N
Sales & Marketing,region_16,Bachelors,m,sourcing,4,40,3,4,0,0,53,N
Operations,region_22,Master & above,m,other,1,33,3,3,0,0,59,N
Sales & Marketing,region_11,Bachelors,m,sourcing,1,31,5,7,0,0,52,N
Operations,region_2,Bachelors,m,other,1,36,5,4,0,1,75,Y
Analytics,region_17,Bachelors,m,other,1,37,3,3,0,0,84,N
Operations,region_15,Bachelors,m,sourcing,1,38,1,8,0,0,63,N
Operations,region_2,Bachelors,f,sourcing,2,32,3,7,1,0,59,Y
Sales & Marketing,region_28,Master & above,f,sourcing,1,30,5,5,1,0,49,N
Technology,region_2,Bachelors,f,sourcing,3,28,4,3,1,0,79,N
HR,region_4,Bachelors,f,other,1,29,5,5,1,0,48,N
Technology,region_25,Bachelors,f,other,1,33,3,6,0,0,82,N
Sales & Marketing,region_15,Master & above,m,sourcing,1,35,5,9,1,0,49,Y
HR,region_16,Master & above,f,other,1,33,5,8,0,0,47,N
Technology,region_27,Bachelors,f,other,1,27,5,2,1,0,78,Y
Technology,region_9,Bachelors,m,sourcing,1,30,5,8,1,0,81,Y
HR,region_2,Master & above,m,other,1,41,4,13,0,0,50,N
Sales & Marketing,region_22,Master & above,m,sourcing,1,35,3,4,0,0,50,N
Analytics,region_20,Master & above,m,sourcing,1,36,3,2,0,0,80,N
Technology,region_13,Master & above,f,sourcing,3,36,3,10,0,0,80,N
Sales & Marketing,region_22,Bachelors,m,sourcing,2,28,3,4,0,0,50,N
Sales & Marketing,region_2,Master & above,m,other,1,30,5,2,1,1,53,Y
Operations,region_22,Bachelors,f,other,1,42,3,8,0,0,60,N
Technology,region_13,Bachelors,f,other,1,30,3,5,1,0,81,N
Operations,region_4,Bachelors,m,other,1,30,5,9,0,0,57,N
Analytics,region_15,Bachelors,f,sourcing,2,32,3,4,0,0,86,N
HR,region_13,Bachelors,f,other,1,28,4,5,1,0,49,N
Operations,region_2,Master & above,f,other,1,33,5,4,0,0,60,N
Operations,region_2,Bachelors,m,other,1,34,3,9,1,0,61,N
Operations,region_31,Master & above,f,other,1,32,5,6,0,0,57,N
Technology,region_23,Master & above,f,other,1,43,3,4,0,0,80,N
Finance,region_2,Master & above,m,sourcing,1,31,3,7,0,0,61,N
Sales & Marketing,region_23,Master & above,f,sourcing,1,36,3,5,0,0,49,N
Sales & Marketing,region_16,Bachelors,m,sourcing,1,48,4,17,0,0,53,N
Analytics,region_7,Bachelors,f,other,1,29,4,3,1,0,87,N
Operations,region_2,Bachelors,f,other,2,33,1,3,1,0,60,N
HR,region_2,Bachelors,m,sourcing,1,34,4,2,0,0,51,N
Technology,region_31,Bachelors,f,other,2,32,3,7,0,0,76,N
Analytics,region_22,Master & above,m,sourcing,1,31,4,9,1,0,86,N
Sales & Marketing,region_31,Master & above,m,sourcing,1,36,4,4,0,0,52,N
Operations,region_11,Bachelors,m,other,1,29,4,6,1,0,59,N
Technology,region_2,Master & above,f,other,1,45,3,15,1,0,77,N
Procurement,region_2,Master & above,f,sourcing,1,33,3,3,1,0,68,Y
Analytics,region_2,Bachelors,m,other,1,29,1,7,1,0,85,N
Operations,region_6,Bachelors,m,sourcing,1,28,3,4,1,0,56,N
HR,region_32,Bachelors,f,other,1,30,4,5,1,0,51,N
Operations,region_26,Bachelors,m,other,1,27,5,3,0,0,55,N
Procurement,region_7,Master & above,f,other,4,32,2,6,0,0,69,N
Sales & Marketing,region_2,Master & above,m,sourcing,1,42,5,7,1,0,50,N
Operations,region_20,Bachelors,m,sourcing,1,29,3,5,0,0,57,N
Operations,region_31,Bachelors,m,other,1,32,4,9,1,0,55,N
Operations,region_11,Bachelors,m,other,1,28,5,2,0,0,57,N
Analytics,region_32,Bachelors,m,other,1,31,2,7,0,0,89,N
Technology,region_2,Bachelors,m,other,1,41,3,3,1,0,79,N
Operations,region_7,Master & above,m,other,2,41,3,9,0,0,68,Y
Technology,region_15,Bachelors,m,other,1,32,1,7,0,0,81,N
Analytics,region_26,Bachelors,m,sourcing,2,31,2,8,0,0,85,N
Operations,region_7,Bachelors,f,sourcing,1,37,3,6,0,0,62,N
HR,region_2,Master & above,f,other,1,38,3,12,0,0,51,N
Sales & Marketing,region_25,Bachelors,m,other,1,27,4,4,1,0,49,N
HR,region_13,Bachelors,f,other,1,32,5,6,0,0,55,N
HR,region_2,Master & above,m,sourcing,1,47,2,4,0,0,49,N
Operations,region_2,Bachelors,m,other,2,56,5,4,0,0,61,N
Operations,region_11,Bachelors,m,sourcing,1,31,3,7,0,0,59,N
Procurement,region_7,Bachelors,f,sourcing,1,29,1,5,0,0,75,N
HR,region_2,Bachelors,m,sourcing,1,32,5,7,1,0,49,Y
Procurement,region_22,Master & above,f,sourcing,1,31,3,6,0,0,68,N
Operations,region_16,Master & above,m,other,1,34,3,9,0,0,58,N
Procurement,region_2,Master & above,m,sourcing,1,46,2,12,0,0,70,N
Sales & Marketing,region_2,Master & above,f,sourcing,2,42,5,10,0,0,48,N
Operations,region_29,Bachelors,m,sourcing,1,31,4,3,1,0,64,N
Operations,region_6,Master & above,f,other,1,49,3,10,0,0,62,N
Operations,region_2,Master & above,f,other,1,52,4,11,0,0,61,N
Analytics,region_9,Master & above,m,sourcing,1,30,3,4,0,0,85,N
Sales & Marketing,region_2,Bachelors,m,other,1,56,3,17,1,0,53,Y
Sales & Marketing,region_26,Bachelors,m,other,1,33,5,6,1,0,52,N
Sales & Marketing,region_29,Bachelors,m,other,1,33,4,7,1,0,51,N
Procurement,region_2,Bachelors,m,sourcing,1,36,4,3,0,0,68,N
Sales & Marketing,region_2,Bachelors,m,sourcing,1,37,5,11,1,0,51,N
Operations,region_4,Bachelors,m,sourcing,1,41,3,2,1,0,60,N
Procurement,region_13,Master & above,m,other,1,37,5,9,1,0,71,N
Operations,region_34,Bachelors,m,other,1,36,3,4,0,0,62,N
Operations,region_22,Master & above,f,sourcing,1,36,5,7,0,0,61,N
Operations,region_16,Bachelors,m,sourcing,1,46,5,5,1,0,58,N
Operations,region_2,Master & above,m,other,1,43,4,4,1,0,61,N
Sales & Marketing,region_7,Bachelors,m,other,3,26,3,4,1,0,99,Y
Sales & Marketing,region_25,Bachelors,m,sourcing,1,36,5,7,0,0,52,N
Operations,region_26,Bachelors,f,other,1,32,2,3,0,0,55,N
Sales & Marketing,region_13,Bachelors,f,other,1,28,3,2,0,0,52,N
Analytics,region_27,Bachelors,m,sourcing,2,30,1,5,0,0,82,N
Sales & Marketing,region_13,Bachelors,m,sourcing,1,33,5,5,1,0,52,N
Technology,region_13,Master & above,m,sourcing,1,39,2,9,0,0,78,N
Operations,region_2,Bachelors,m,sourcing,1,36,5,7,0,0,59,N
Sales & Marketing,region_15,Bachelors,m,other,1,26,3,3,0,0,50,N
Analytics,region_31,Master & above,m,other,1,35,1,7,0,0,86,N
Operations,region_25,Bachelors,f,other,1,29,3,2,1,0,61,N
Procurement,region_13,Master & above,f,sourcing,1,38,5,2,1,0,68,Y
Sales & Marketing,region_7,Bachelors,m,sourcing,1,33,5,8,1,0,55,N
Procurement,region_16,Bachelors,f,other,1,30,4,3,0,0,68,N
HR,region_10,Master & above,m,other,1,36,1,8,0,0,49,N
HR,region_14,Bachelors,m,other,1,30,1,5,0,0,53,N
Procurement,region_2,Master & above,f,sourcing,3,58,3,3,1,0,67,N
R&D,region_2,Master & above,m,other,2,29,5,5,0,0,87,N
Sales & Marketing,region_13,Master & above,f,sourcing,1,35,4,10,0,0,49,N
Analytics,region_2,Master & above,m,sourcing,2,56,4,14,1,0,84,Y
Sales & Marketing,region_15,Bachelors,m,other,2,41,3,6,0,0,52,N
Operations,region_19,Bachelors,m,sourcing,2,39,5,3,1,0,65,N
Finance,region_2,Bachelors,m,other,1,31,5,3,1,0,58,N
Operations,region_26,Bachelors,f,other,1,27,5,3,0,0,58,N
Technology,region_22,Bachelors,m,sourcing,2,30,5,8,1,0,77,N
Analytics,region_22,Bachelors,m,sourcing,1,33,2,7,0,0,87,N
Procurement,region_15,Bachelors,f,other,1,41,3,12,0,0,69,N
Operations,region_2,Bachelors,f,other,1,41,5,7,1,0,61,N
Sales & Marketing,region_9,Master & above,m,other,2,31,3,7,0,0,49,N
Technology,region_7,Bachelors,f,sourcing,1,34,1,6,0,0,78,N
Legal,region_2,Bachelors,m,sourcing,1,46,1,2,0,0,62,N
Sales & Marketing,region_7,Master & above,m,other,2,40,3,11,1,0,51,Y
Technology,region_4,Bachelors,f,other,1,27,3,5,0,0,85,N
Procurement,region_16,Bachelors,f,other,1,44,3,3,0,0,76,N
Sales & Marketing,region_2,Master & above,m,sourcing,1,43,5,16,1,0,54,N
Sales & Marketing,region_16,Bachelors,m,other,1,29,5,2,1,0,53,N
Sales & Marketing,region_2,Bachelors,f,sourcing,1,36,1,4,0,0,51,N
Technology,region_2,Bachelors,m,other,1,58,5,14,1,0,80,Y
Sales & Marketing,region_2,Bachelors,m,other,1,45,3,4,0,0,49,N
Operations,region_20,Bachelors,m,sourcing,1,30,5,4,0,0,59,N
Operations,region_4,Bachelors,m,other,1,33,5,10,0,0,58,N
Operations,region_22,Master & above,m,other,2,34,4,7,0,0,58,N
Analytics,region_4,Master & above,m,sourcing,1,41,5,4,0,0,79,N
R&D,region_7,Master & above,m,other,1,31,2,5,1,0,82,N
Operations,region_22,Bachelors,m,referred,1,31,1,5,1,0,60,N
Sales & Marketing,region_2,Bachelors,m,sourcing,1,34,2,5,1,0,49,N
Legal,region_2,Bachelors,m,sourcing,1,32,1,3,0,0,61,N
Technology,region_30,Bachelors,f,sourcing,1,26,1,4,0,0,79,N
Technology,region_31,Bachelors,m,other,2,34,4,2,0,0,83,N
Operations,region_31,Bachelors,m,other,1,41,1,5,0,0,66,N
Operations,region_7,Bachelors,m,sourcing,1,31,1,7,0,0,59,N
Finance,region_2,Bachelors,m,referred,1,29,4,5,1,0,58,N
R&D,region_11,Bachelors,f,other,1,34,5,2,0,0,85,N
Finance,region_31,Bachelors,m,sourcing,2,34,4,9,1,0,62,N
Procurement,region_26,Bachelors,m,other,1,38,4,3,1,0,69,Y
Operations,region_8,Bachelors,m,sourcing,1,26,5,3,0,0,60,N
HR,region_2,Master & above,m,other,2,47,5,7,0,0,52,N
Analytics,region_4,Master & above,m,other,1,32,3,4,0,0,84,N
HR,region_2,Bachelors,f,other,1,55,4,7,0,0,51,N
Sales & Marketing,region_7,Bachelors,m,sourcing,1,39,3,13,0,0,50,N
Technology,region_7,Master & above,m,other,1,45,3,7,1,0,81,N
Technology,region_2,Bachelors,f,sourcing,1,37,3,4,0,0,81,N
Technology,region_2,Bachelors,m,other,1,38,3,10,1,0,79,N
Procurement,region_23,Master & above,f,other,1,35,3,8,0,0,69,N
Operations,region_21,Bachelors,f,other,1,47,3,7,0,0,56,N
Sales & Marketing,region_1,Master & above,f,sourcing,1,33,3,7,0,0,54,N
Technology,region_30,Bachelors,f,other,1,31,3,5,0,0,81,N
Technology,region_2,Bachelors,f,other,1,58,3,3,1,0,83,N
Technology,region_26,Master & above,m,sourcing,1,45,3,15,0,0,79,N
Sales & Marketing,region_19,Bachelors,m,other,1,30,1,7,0,0,50,N
Procurement,region_22,Bachelors,m,sourcing,1,29,4,4,1,0,67,N
Operations,region_32,Bachelors,f,sourcing,1,32,4,3,1,0,61,N
Procurement,region_11,Master & above,m,other,1,39,3,9,0,0,83,Y
Procurement,region_10,Master & above,f,other,1,32,2,5,1,0,64,Y
Procurement,region_2,Master & above,m,other,1,52,5,11,0,0,66,N
Procurement,region_2,Bachelors,f,sourcing,1,32,3,4,0,0,66,N
Technology,region_2,Bachelors,f,other,2,37,1,7,1,0,80,N
Technology,region_7,Bachelors,f,sourcing,1,27,1,4,1,1,79,N
Analytics,region_23,Master & above,m,other,1,32,3,6,1,0,84,N
Operations,region_26,Bachelors,m,other,1,33,3,4,0,0,55,N
Sales & Marketing,region_16,Master & above,m,sourcing,1,42,3,10,0,0,49,N
Sales & Marketing,region_2,Master & above,m,sourcing,1,37,3,10,0,0,48,N
Sales & Marketing,region_15,Bachelors,m,sourcing,1,23,3,2,1,1,52,Y
Technology,region_4,Master & above,m,sourcing,2,34,1,7,0,0,79,N
Procurement,region_14,Bachelors,f,other,1,29,3,2,0,0,71,N
Sales & Marketing,region_4,Bachelors,m,other,1,43,3,9,0,0,53,N
Operations,region_15,Bachelors,f,sourcing,1,45,3,18,0,0,59,N
Procurement,region_2,Master & above,f,sourcing,1,37,2,3,1,0,70,N
Sales & Marketing,region_8,Bachelors,m,other,1,35,3,8,0,0,49,N
Sales & Marketing,region_6,Bachelors,m,other,1,24,2,2,0,0,52,N
Sales & Marketing,region_13,Bachelors,m,sourcing,1,49,3,15,0,0,45,N
Operations,region_22,Master & above,m,sourcing,1,50,5,8,0,0,59,N
Sales & Marketing,region_13,Bachelors,f,sourcing,1,37,3,8,0,0,52,N
Operations,region_22,Bachelors,f,other,1,33,1,8,0,0,56,N
Sales & Marketing,region_23,Master & above,m,sourcing,1,49,5,20,0,0,47,N
R&D,region_7,Master & above,m,other,3,36,3,9,0,0,85,N
HR,region_23,Bachelors,m,other,1,35,4,3,0,0,50,N
Analytics,region_9,Bachelors,m,sourcing,1,29,4,6,0,0,84,N
Sales & Marketing,region_4,Bachelors,m,other,1,40,5,2,1,0,50,Y
Sales & Marketing,region_22,Master & above,m,other,2,36,1,9,0,0,47,N
Sales & Marketing,region_27,Bachelors,m,other,3,33,1,7,0,0,49,N
Operations,region_4,Master & above,m,other,1,26,4,2,0,0,57,N
Procurement,region_31,Master & above,m,sourcing,1,43,4,16,1,0,64,N
Operations,region_10,Bachelors,m,other,1,30,3,5,0,0,57,N
HR,region_2,Master & above,f,other,1,32,5,6,0,0,50,N
Sales & Marketing,region_15,Bachelors,m,other,1,40,1,3,0,0,53,N
Finance,region_2,Bachelors,m,other,1,39,2,9,0,0,63,N
HR,region_2,Bachelors,f,other,1,29,5,3,1,0,46,N
Analytics,region_4,Master & above,m,sourcing,1,46,4,6,1,0,89,N
Technology,region_20,Master & above,f,sourcing,3,36,5,12,1,0,79,N
Technology,region_9,Bachelors,m,sourcing,1,28,1,4,0,0,77,N
Operations,region_2,Master & above,f,sourcing,1,43,3,12,1,0,65,N
Analytics,region_22,Master & above,m,sourcing,1,30,5,7,1,0,84,N
HR,region_2,Master & above,m,other,1,43,1,10,0,0,49,N
Sales & Marketing,region_9,Bachelors,m,other,1,32,3,6,0,0,53,N
Operations,region_20,Bachelors,m,sourcing,1,31,1,3,0,0,63,N
Analytics,region_16,Bachelors,m,other,1,31,1,5,0,0,82,N
Analytics,region_2,Bachelors,m,other,1,37,5,10,1,0,81,N
Operations,region_29,Master & above,m,sourcing,1,30,3,4,1,0,54,Y
Procurement,region_20,Bachelors,m,other,1,31,2,3,1,0,69,N
Operations,region_19,Bachelors,f,other,1,33,3,6,0,0,62,N
Operations,region_15,Bachelors,m,sourcing,1,47,5,6,1,0,59,N
Sales & Marketing,region_2,Bachelors,m,other,1,40,3,10,0,0,48,N
Technology,region_9,Bachelors,m,other,1,28,4,5,0,0,76,N
Sales & Marketing,region_22,Bachelors,f,sourcing,1,34,3,7,0,0,52,N
Operations,region_15,Master & above,f,sourcing,1,40,2,11,0,0,56,N
Sales & Marketing,region_24,Bachelors,m,other,1,35,3,9,0,0,49,N
Technology,region_27,Master & above,m,sourcing,2,40,3,3,0,0,81,N
Procurement,region_34,Master & above,m,other,1,39,5,8,0,0,71,N
Sales & Marketing,region_8,Master & above,m,other,1,39,5,7,0,0,52,N
Operations,region_22,Bachelors,m,referred,1,26,4,2,0,0,56,N
Analytics,region_22,Master & above,m,other,1,34,4,9,0,0,86,N
Procurement,region_13,Bachelors,m,other,1,42,4,15,0,0,71,N
Procurement,region_2,Bachelors,f,sourcing,1,31,3,5,0,0,81,Y
R&D,region_2,Master & above,m,other,1,32,4,7,0,0,91,N
Procurement,region_2,Bachelors,m,other,1,40,1,2,0,0,68,N
Technology,region_22,Bachelors,m,other,1,44,3,4,1,0,78,N
Operations,region_4,Bachelors,m,sourcing,1,31,4,3,0,0,60,N
Technology,region_7,Bachelors,m,other,2,34,3,7,0,0,79,N
Operations,region_2,Bachelors,m,sourcing,2,34,5,6,1,0,62,N
Sales & Marketing,region_31,Bachelors,m,other,1,37,3,2,1,0,47,N
Sales & Marketing,region_14,Bachelors,m,other,1,33,2,7,0,0,46,N
Operations,region_19,Bachelors,m,sourcing,1,39,4,11,0,0,60,N
Sales & Marketing,region_16,Master & above,m,other,1,33,4,5,1,0,50,N
Analytics,region_26,Bachelors,m,sourcing,1,35,5,6,1,0,83,N
Sales & Marketing,region_7,Bachelors,f,other,2,32,1,9,0,0,54,N
Operations,region_26,Bachelors,m,other,1,32,5,7,1,0,58,N
Technology,region_5,Master & above,f,other,1,32,5,7,1,0,79,N
Sales & Marketing,region_25,Bachelors,f,sourcing,2,29,1,4,0,0,49,N
Operations,region_21,Bachelors,f,sourcing,1,39,4,5,0,0,63,N
Operations,region_28,Bachelors,f,sourcing,1,31,3,7,0,0,59,N
Operations,region_8,Bachelors,f,other,1,26,3,2,0,0,62,N
Procurement,region_16,Master & above,f,other,1,39,4,5,1,0,69,N
Sales & Marketing,region_2,Master & above,m,other,1,41,4,2,1,1,98,Y
Sales & Marketing,region_22,Bachelors,f,other,2,30,3,2,0,0,53,N
Sales & Marketing,region_2,Master & above,f,other,1,47,5,21,1,0,48,N
Finance,region_22,Bachelors,m,other,1,24,1,3,0,0,62,N
Finance,region_2,Master & above,m,sourcing,2,58,5,11,0,0,58,N
Technology,region_11,Master & above,f,other,2,33,4,7,1,0,82,N
Finance,region_2,Bachelors,f,other,1,36,3,7,1,0,55,N
